hasClassic,hasTagManager,hasUniversal,url
1,0,0,https://www.google.com/doodles
0,0,0,https://www.google.com/intl/en/policies/technologies/cookies/
1,0,0,https://accounts.google.com/SignUp?continue=https%3A%2F%2Ftranslate.google.co.in%2Fcontribute
0,0,0,https://www.google.com/intl/en-gb/policies/privacy/
0,0,0,"https://www.google.com/maps/dir/Current+Location/59.333432,18.054619?hl=en"
0,1,0,https://about.google/intl/ALL_in/locations/?region=africa-middle-east
0,0,0,"https://www.google.com/maps/dir/Current+Location/37.62816,-122.426491?hl=en"
1,0,0,https://accounts.google.com/SignUp?continue=https%3A%2F%2Fpolicies.google.com%2Fterms%3Fhl%3Den
0,0,0,https://accounts.google.com/signin/recovery?continue=https%3A%2F%2Ftranslate.google.co.in%2Fcontribute
0,0,0,https://www.google.com/intl/en-gb/services/
0,0,0,https://accounts.google.com/ServiceLogin?continue=https%3A%2F%2Fpolicies.google.com%2Fterms%3Fhl%3Den&sacu=1&rip=1
0,1,0,https://www.thinkwithgoogle.com/intl/en-gb/collections/about/
1,0,0,https://accounts.google.com/SignUpWithoutGmail?dsh=-8047012087017430474&continue=https%3A%2F%2Ftranslate.google.co.in%2Fcontribute
0,0,0,https://accounts.google.com/ServiceLogin?continue=https%3A%2F%2Fpolicies.google.com%2Fterms%3Fhl%3Den&dsh=5760865760874132864
0,0,0,https://policies.google.com/privacy?hl=en-GB
0,0,0,https://www.google.com/intl/en/policies/terms/
0,0,0,https://www.google.com/intl/en/policies/privacy/
0,0,0,https://support.google.com/maps/answer/6259159?hl=en&authuser=0&p=no_javascript&visit_id=637577850465045797-4147046475&rd=1
1,1,0,https://creativecommons.org/licenses/by/4.0/
0,0,0,https://www.google.com/history/optout?utm_source=pp&hl=en_GB
1,0,0,https://accounts.google.com/SignUp?dsh=-8047012087017430474&continue=https%3A%2F%2Ftranslate.google.co.in%2Fcontribute
1,0,0,https://www.google.com/doodles/auguste-rodins-172nd-birthday
0,0,0,https://accounts.google.com/login?hl=en_GB
0,0,0,https://books.google.co.in/?hl=en-GB
